Prev_LAT,Prev_LON,Prev_WIND,Prev_PRES
11.9,82.5,25.0,1002.0
11.988,82.494,25.0,1002.0
12.0667,82.5,25.0,1002.0
12.1397,82.5157,25.0,1002.0
12.25,82.55,25.0,1002.0
12.4837,82.6063,25.0,1002.0
12.8,82.7,25.0,1002.0
13.1541,82.7804,27.0,1001.0
13.55,83.0,30.0,1000.0
13.9563,83.4463,30.0,1000.0
14.4,83.9,30.0,1000.0
14.8812,84.3326,32.0,998.0
15.65,84.75,35.0,997.0
15.9387,84.6501,35.0,997.0
16.25,84.8,35.0,997.0
16.7575,84.9571,35.0,997.0
18.4,86.4,35.0,997.0
19.6086,86.8839,45.0,990.0
20.9143,87.4571,55.0,984.0
22.3415,88.3949,42.0,992.0
9.5,88.8,25.0,1002.0
9.805,88.74,25.0,1002.0
10.1,88.7,25.0,1002.0
10.308,88.354,25.0,1002.0
10.6333,88.1333,25.0,1002.0
11.163,87.9714,30.0,999.0
11.75,87.85,35.0,997.0
12.1271,87.8026,40.0,994.0
12.4,87.85,45.0,991.0
12.65,88.0788,45.0,991.0
13.15,88.05,45.0,991.0
13.3762,88.025,42.0,992.0
13.8,88.0,40.0,994.0
14.1475,87.975,37.0,995.0
14.7,88.2,35.0,997.0
14.7537,88.175,35.0,997.0
14.8,88.15,35.0,997.0
14.9712,88.1325,35.0,997.0
15.15,88.1,35.0,997.0
15.2287,88.04,35.0,997.0
15.3286,87.9571,35.0,997.0
15.3909,87.8883,35.0,997.0
1.9,78.7,25.0,1002.0
2.04,78.77,25.0,1002.0
2.2,78.9,25.0,1002.0
2.39251,79.1275,25.0,1002.0
2.6,79.4,25.0,1002.0
2.79999,79.65,25.0,1002.0
3.0,79.9,25.0,1002.0
3.22251,80.1725,25.0,1002.0
3.4,80.4,25.0,1002.0
3.46499,80.53,25.0,1002.0
3.7,80.38,25.0,1002.0
3.895,80.355,27.0,1001.0
4.04286,80.4,30.0,1000.0
4.14626,80.5218,30.0,1000.0
4.2,80.65,30.0,1000.0
4.26375,80.6888,30.0,1000.0
4.35,80.75,30.0,1000.0
4.58774,80.9514,30.0,1000.0
4.85,81.2,30.0,1000.0
4.97249,81.3613,32.0,998.0
5.05,81.5,35.0,997.0
5.10258,81.5989,35.0,997.0
5.25,81.8,35.0,997.0
5.57499,82.1963,35.0,997.0
5.65,82.35,35.0,997.0
5.9925,82.7713,35.0,997.0
6.1,82.95,35.0,997.0
6.475,83.3825,35.0,997.0
6.6,83.55,35.0,997.0
6.69998,83.6825,35.0,997.0
7.05,84.3,35.0,997.0
7.17499,84.425,35.0,997.0
7.3,85.05,35.0,997.0
7.57715,85.6688,35.0,997.0
7.8,86.06,35.0,997.0
7.91171,86.26,32.0,998.0
5.0,91.3,15.0,1006.0
4.91,91.25,17.0,1005.0
4.8,91.2,20.0,1004.0
4.6575,91.15,20.0,1004.0
4.5,91.1,20.0,1004.0
4.31249,91.065,22.0,1003.0
4.2,91.0,25.0,1002.0
4.22501,90.865,25.0,1002.0
4.4,90.7,25.0,1002.0
4.69751,90.5425,25.0,1002.0
5.1,90.4,25.0,1002.0
5.53499,90.3,25.0,1002.0
6.0,90.2,25.0,1002.0
6.35999,90.152,25.0,1002.0
6.6,90.1,25.0,1002.0
7.19997,90.0642,27.0,1001.0
7.9,89.5,30.0,1000.0
8.12503,89.3113,32.0,998.0
8.6,88.85,35.0,997.0
8.82873,88.6675,40.0,994.0
9.3,88.25,45.0,991.0
9.77622,87.5963,50.0,987.0
10.2,87.2,55.0,984.0
10.2762,87.0462,57.0,982.0
10.55,86.65,60.0,980.0
10.5938,86.4987,60.0,980.0
10.85,86.15,60.0,980.0
10.76,86.1563,60.0,980.0
10.7,86.2,60.0,980.0
10.7987,86.1925,57.0,982.0
10.95,86.2,55.0,984.0
11.05,86.2712,55.0,984.0
11.4,86.1,55.0,984.0
11.5212,86.1512,55.0,984.0
11.65,86.15,55.0,984.0
11.7825,86.0651,55.0,984.0
11.9,85.95,55.0,984.0
12.2325,85.6137,55.0,984.0
12.55,85.55,55.0,984.0
12.625,85.5175,52.0,985.0
12.7,85.5,50.0,987.0
12.7675,85.4713,52.0,985.0
13.1,85.45,55.0,984.0
13.2175,85.4425,50.0,987.0
13.6,85.45,45.0,991.0
13.9825,85.46,45.0,991.0
14.1,85.5,45.0,991.0
14.4363,85.8425,42.0,992.0
14.5,85.95,40.0,994.0
14.5575,86.055,37.0,995.0
14.6,86.1,35.0,997.0
14.6475,86.2651,35.0,997.0
14.65,86.15,35.0,997.0
14.5575,86.0987,35.0,997.0
14.45,86.1,35.0,997.0
14.4063,86.16,35.0,997.0
14.4,86.25,35.0,997.0
14.4175,86.325,35.0,997.0
14.45,86.4,35.0,997.0
14.49,86.4862,37.0,995.0
14.5,86.55,40.0,994.0
14.4325,86.8225,42.0,992.0
14.35,86.8,45.0,991.0
14.3288,86.725,45.0,991.0
14.3,86.9,45.0,991.0
14.2112,86.8662,42.0,992.0
14.1,86.9,40.0,994.0
13.9925,87.0163,40.0,994.0
13.9,87.2,40.0,994.0
13.8275,87.66,40.0,994.0
13.8,87.9,40.0,994.0
13.8275,88.15,40.0,994.0
13.9,88.65,40.0,994.0
13.985,89.1325,35.0,997.0
14.1,89.6,30.0,1000.0
14.2312,90.065,30.0,1000.0
14.4,90.5,30.0,1000.0
14.6212,90.8751,30.0,1000.0
14.85,91.0,30.0,1000.0
15.0288,91.1926,30.0,1000.0
15.2,91.65,30.0,1000.0
15.3963,91.8475,30.0,1000.0
15.85,92.25,30.0,1000.0
16.2999,92.3226,32.0,998.0
16.75,92.6,35.0,997.0
17.2037,92.8676,40.0,994.0
17.9,93.15,45.0,991.0
18.3213,93.2388,45.0,991.0
18.7143,93.5857,45.0,991.0
19.171,93.6629,42.0,992.0
9.1,101.4,25.0,1002.0
9.27,101.4,25.0,1002.0
9.4,101.4,25.0,1002.0
9.465,101.4,25.0,1002.0
9.5,101.4,25.0,1002.0
9.55,101.408,25.0,1002.0
9.6,101.4,25.0,1002.0
9.6425,101.35,27.0,1001.0
9.7,101.3,30.0,1000.0
9.79249,101.307,27.0,1001.0
9.9,101.3,25.0,1002.0
9.99251,101.208,25.0,1002.0
10.1,101.1,25.0,1002.0
10.2425,101.035,25.0,1002.0
10.4,101.0,25.0,1002.0
10.55,100.985,25.0,1002.0
10.7,101.0,25.0,1002.0
10.8425,101.057,25.0,1002.0
11.0,101.1,25.0,1002.0
11.2,101.073,25.0,1002.0
11.4,101.0,25.0,1002.0
11.55,100.93,25.0,1002.0
11.7,100.8,25.0,1002.0
11.8925,100.587,25.0,1002.0
12.1,100.3,25.0,1002.0
12.3374,99.9876,25.0,1002.0
12.5,99.6,25.0,1002.0
12.4724,99.1372,25.0,1002.0
12.4,98.6,25.0,1002.0
12.3975,98.0148,25.0,1002.0
12.5,97.4,25.0,1002.0
12.7999,96.7929,25.0,1002.0
13.1,96.2,25.0,1002.0
13.1949,95.6348,25.0,1002.0
13.2,95.1,25.0,1002.0
13.1999,94.5774,25.0,1002.0
13.2,94.1,25.0,1002.0
13.2423,93.6925,25.0,1002.0
13.34,93.34,25.0,1002.0
13.4267,92.8589,25.0,1002.0
13.5247,92.3171,25.0,1002.0
13.6331,91.7576,27.0,1001.0
13.7455,91.2097,30.0,1000.0
13.885,90.6612,32.0,998.0
14.061,90.1166,35.0,997.0
14.2786,89.5654,35.0,997.0
14.55,88.95,35.0,997.0
14.8408,88.1653,35.0,997.0
15.1941,87.3068,35.0,997.0
15.6228,86.4435,35.0,997.0
16.1258,85.64,35.0,997.0
16.7413,85.0215,35.0,997.0
17.3759,84.579,35.0,997.0
17.8819,84.2297,32.0,998.0
18.2,84.0,30.0,1000.0
18.4576,83.6752,30.0,1000.0
8.7,67.1,15.0,1006.0
8.59755,66.7525,15.0,1006.0
8.5,66.4,15.0,1006.0
8.40749,66.0425,15.0,1006.0
8.3,65.7,15.0,1006.0
8.1649,65.4151,15.0,1006.0
8.0,65.1,15.0,1006.0
